Date,UnemploymentRate,InflationRate,EffectiveFederalFundsRate,BuildingMaterials
1992-01-01,7.3,3.9,4.03,8964.0
1992-02-01,7.4,3.8,4.06,9023.0
1992-03-01,7.4,3.9,3.98,10608.0
1992-04-01,7.4,3.9,3.73,11630.0
1992-05-01,7.6,3.8,3.82,12327.0
1992-06-01,7.8,3.8,3.76,12219.0
1992-07-01,7.7,3.7,3.25,11658.0
1992-08-01,7.6,3.5,3.3,11219.0
1992-09-01,7.6,3.3,3.22,11309.0
1992-10-01,7.3,3.5,3.1,11605.0
1992-11-01,7.4,3.4,3.09,10156.0
1992-12-01,7.4,3.3,2.92,10271.0
1993-01-01,7.3,3.5,3.02,8947.0
1993-02-01,7.1,3.6,3.03,9208.0
1993-03-01,7.0,3.4,3.07,11073.0
1993-04-01,7.1,3.5,2.96,12374.0
1993-05-01,7.1,3.4,3.0,13296.0
1993-06-01,7.0,3.3,3.04,13209.0
1993-07-01,6.9,3.2,3.06,12523.0
1993-08-01,6.8,3.3,3.03,12470.0
1993-09-01,6.7,3.2,3.09,12149.0
1993-10-01,6.8,3.0,2.99,12220.0
1993-11-01,6.6,3.1,3.02,11872.0
1993-12-01,6.5,3.2,2.96,11623.0
1994-01-01,6.6,2.9,3.05,9725.0
1994-02-01,6.6,2.8,3.25,9861.0
1994-03-01,6.5,2.9,3.34,12658.0
1994-04-01,6.4,2.8,3.56,13937.0
1994-05-01,6.1,2.8,4.01,15025.0
1994-06-01,6.1,2.9,4.25,14724.0
1994-07-01,6.1,2.9,4.26,13602.0
1994-08-01,6.0,2.9,4.47,14320.0
1994-09-01,5.9,3.0,4.73,13803.0
1994-10-01,5.8,2.9,4.76,13894.0
1994-11-01,5.6,2.8,5.29,12991.0
1994-12-01,5.5,2.6,5.45,12688.0
1995-01-01,5.6,2.9,5.53,11086.0
1995-02-01,5.4,3.0,5.92,10967.0
1995-03-01,5.4,3.0,5.98,13447.0
1995-04-01,5.8,3.1,6.05,13907.0
1995-05-01,5.6,3.1,6.01,15700.0
1995-06-01,5.6,3.0,6.0,15414.0
1995-07-01,5.7,3.0,5.85,14174.0
1995-08-01,5.7,2.9,5.74,14783.0
1995-09-01,5.6,2.9,5.8,13950.0
1995-10-01,5.5,3.0,5.76,14616.0
1995-11-01,5.6,3.0,5.8,13600.0
1995-12-01,5.6,3.0,5.6,12917.0
1996-01-01,5.6,3.0,5.56,11587.0
